aðallögreglustöð;kvk
aðallögsögumaður;kk
aðallögun;kvk
aðalmaður;kk
aðalmagn;hk
aðalmanntal;hk
aðalmark;hk
aðalmarkaðsmaður;kk
aðalmarkaðssvæði;hk
aðalmarkaður;kk
aðalmarkaskorari;kk
aðalmarkhópur;kk
aðalmarkmaður;kk
aðalmarkmið;hk
aðalmarkvörður;kk
aðalmatari;kk
aðalmatreiðslumaður;kk
aðalmatsmaður;kk
aðalmatur;kk
aðalmál;hk
aðalmálafærslumaður;kk
aðalmálalið;hk
aðalmálefni;hk
aðalmálgagn;hk
aðalmálsvari;kk
aðalmáltíð;kvk
aðalmáltól;hk
aðalmálþófsmaður;kk
aðalmáttarreipi;hk
aðalmáttarstólpi;kk
aðalmeðferð;kvk
aðalmegin;hk
aðalmegn;hk
aðalmein;hk
aðalmeining;kvk
aðalmellutorg;hk
aðalmenningarból;hk
aðalmerki;hk
aðalmerking;kvk
aðalmetrómaður;kk
aðalmið;hk
aðalmiðjumaður;kk
aðalmiðlari;kk
aðalmiðlunarlón;hk
aðalmiðstöð;kvk
aðalmilligöngumaður;kk
aðalminni;hk
aðalmóðurskip;hk
aðalmót;hk
aðalmótíf;hk
aðalmótstöðublað;hk
aðalmótstöðumaður;kk
aðalmundang;hk
aðalmunur;kk
aðalmynd;kvk
aðalmyndatökumaður;kk
aðalmynstur;hk
aðalmynt;kvk
aðalmælikvarði;kk
aðalmælingamaður;kk
aðalnafn;hk
aðalnafnaskrá;kvk
aðalnafnaþjónn;kk
aðalnautnaefni;hk
aðalnámsgrein;kvk
aðal námskrá;kvk
aðalnámskrá;kvk
aðalnámsskrá;kvk
aðalnefnd;kvk
aðalnefndarmaður;kk
aðalniðurstaða;kvk
aðalnóta;kvk
aðalnótabassi;kk
aðalnúmer;hk
aðalnæring;kvk
aðaloddviti;kk
aðalofbeldismaður;kk
aðalorð;hk
aðalorðasafn;hk
aðalorðaveldi;hk
aðalorðtæki;hk
aðalorkugjafi;kk
aðalorkuveita;kvk
aðalorsök;kvk
aðalostagerðarmaður;kk
aðalóðalsstjóri;kk
aðalófriðarefni;hk
aðalógæfuefni;hk
aðalóperuáhugamaður;kk
aðalóskabarn;hk
aðalóvinur;kk
aðalpallur;kk
aðalpersóna;kvk
aðalpíanókennari;kk
aðalplanta;kvk
aðalpláss;hk
aðalpostuli;kk
aðalpóstamt;hk
aðalpósthús;hk
aðalpóstleið;kvk
aðalpóstmeistari;kk
aðalpóststjórn;kvk
aðalpóstvegur;kk
aðalprentari;kk
aðalpróf;hk
aðalprófunarökumaður;kk
aðalprógramm;hk
aðalprýði;kvk
aðalpunktur;kk
aðalrafspjald;hk
